hyponym-lemma;hypo_definition;hypernym-lemma;hyper_definition
abundant;present in great quantity;adequate;sufficient for the purpose
acquisitive;eager to acquire and possess things especially material possessions or ideas;selfish;concerned chiefly or only with yourself and your advantage to the exclusion of others
aggressive;characteristic of an enemy or one eager to fight;hostile;characterized by enmity or ill will 
assertive;aggressively self-assured;sure;"having or feeling no doubt or uncertainty; confident and assured "
asymmetric;characterized by asymmetry in the spatial arrangement or placement of parts or components;uneven;not even or uniform as e.g. in shape or texture
banal;"repeated too often; overfamiliar through overuse";easy;"posing no difficulty; requiring little effort"
brusque;marked by rude or peremptory shortness;rough;(of persons or behavior) lacking refinement or finesse
cacophonous;having an unpleasant sound ;unpleasant;"offensive or disagreeable; causing discomfort or unhappiness"
capital;of principal importance;urgent;compelling immediate action
controlled;restrained or managed or kept within certain bounds;composed;serenely self-possessed and free from agitation especially in times of stress
cordial;diffusing warmth and friendliness;friendly;"inclined to help or support; not antagonistic or hostile "
current;occurring in or belonging to the present time;present;"temporal sense; intermediate between past and future; now existing or happening or in consideration"
demanding;"requiring more than usually expected or thought due; especially great patience and effort and skill ";difficult;"not easy; requiring great physical or mental effort to accomplish or comprehend or endure"
disproportional;out of proportion;unequal;poorly balanced or matched in quantity or value or measure
distinguished;(used of persons) standing above others in character or attainment or reputation;dignified;"having or expressing dignity; especially formality or stateliness in bearing or appearance"
enterprising;marked by imagination, initiative, and readiness to undertake new projects;active;disposed to take action or effectuate change
exotic;strikingly strange or unusual;strange;"being definitely out of the ordinary and unexpected; slightly odd or even a bit weird"
flattering;showing or representing to advantage;favourable;encouraging or approving or pleasing
frosty;"devoid of warmth and cordiality; expressive of unfriendliness or disdain";cold;"especially of psychological coldness; without human warmth or emotion "
futile;producing no result or effect;ineffective;not producing an intended effect
grey-black;of black tinged with grey;black;being of the achromatic color of maximum darkness
helpful;providing assistance or serving a useful function;kind;"having or showing a tender and considerate and helpful nature; used especially of persons and their behavior"
horny;feeling great sexual desire;heated;"marked by emotional heat; vehement"
identifiable;capable of being identified;understandable;capable of being apprehended or understood
impolite;not polite;unpleasant;"offensive or disagreeable; causing discomfort or unhappiness"
inclusive;"including much or everything; and especially including stated limits";whole;"including all components without exception; being one unit or constituting the full amount or extent or duration"
innocuous;not injurious to physical or mental health;harmless;not causing or capable of causing harm
interlinear;written between lines of text;alternating;"occurring by turns; first one and then the other"
intolerable;incapable of being tolerated or endured;terrible;intensely or extremely bad or unpleasant in degree or quality
isomorphous;having similar appearance but genetically different;siimilar;having the same or similar characteristics
lavish;characterized by extravagance and profusion;showy;"superficially attractive and stylish; suggesting wealth or expense"
leprous;relating to or resembling or having leprosy;ill;affected by an impairment of normal physical or mental function
malnourished;not being provided with adequate nourishment;weak;lacking bodily or muscular strength or vitality
malodorous;having an unpleasant smell;unpleasant;"offensive or disagreeable; causing discomfort or unhappiness"
Marxist;following the ideas of Marx and Engels;communist;relating to or marked by communism
massive;imposing in scale or scope or degree or power;big;above average in size or number or quantity or magnitude or extent
melodramatic;having the excitement and emotional appeal of melodrama;sentimental;given to or marked by sentiment or sentimentality
memorable;worth remembering;great;remarkable or out of the ordinary in degree or magnitude or effect
merry;full of or showing high-spirited merriment;happy;enjoying or showing or marked by joy or pleasure
navy blue;a dark shade of blue;blue;"of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky"
next;immediately following in time or order;subsequent;following in time or order
notorious;known widely and usually unfavorably;famous;widely known and esteemed
opportune;suitable or at a time that is suitable or advantageous especially for a particular purpose;suitable;meant or adapted for an occasion or use
ordinary;not exceptional in any way especially in quality or ability or size or degree;common;"having no special distinction or quality; widely known or commonly encountered; average or ordinary or usual"
pious;having or showing or expressing reverence for a deity;religious;having or showing belief in and reverence for a deity
premature;uncommonly early or before the expected time;early;at or near the beginning of a period of time or course of events or before the usual or expected time
raging;"characterized by violent and forceful activity or movement; very intense";violent;acting with or marked by or resulting from great force or energy or emotional intensity
recoverable;capable of being recovered or regained ;collectible;subject to or requiring payment especially as specified
reliable;conforming to fact and therefore worthy of belief;certain;"established beyond doubt or question; definitely known"
remedial;tending to cure or restore to health;protective;intended or adapted to afford protection of some kind
repentant;feeling or expressing remorse for misdeeds;aware;having or showing knowledge or understanding or realization or perception
rusted;having accumulated rust;affected;"acted upon; influenced"
shabby;showing signs of wear and tear;damaged;harmed or injured or spoiled
shadowy;filled with shade ;dark;"devoid of or deficient in light or brightness; shadowed or blac"
skinny;being very thin;thin;lacking excess flesh 
smart;showing mental alertness and calculation and resourcefulness;intelligent;having the capacity for thought and reason especially to a high degree
steel grey;slightly purplish or bluish dark grey;grey;of an achromatic color of any lightness intermediate between the extremes of white and black 
stellar;indicating the most important performer or role;famous;widely known and esteemed
tectonic;pertaining to the structure or movement of the earth's crust;geological;of or relating to or based on geology
treacherous;"tending to betray; especially having a treacherous character";sly, cunning;marked by skill in deception
unblemished;free from physical or moral spots or stains;clean;"free from dirt or impurities; or having clean habits"
unfurnished;not equipped with what is needed especially furniture;poor;lacking in quality or substances
ungrammatical;"not grammatical; not conforming to the rules of grammar or accepted usage";wrong;"not correct; not in conformity with fact or truth"
unheeding;marked by or paying little heed or attention;indifferent;showing no care or concern in attitude or action
unobtrusive;not obtrusive or undesirably noticeable;modest;"marked by simplicity; having a humble opinion of yourself"
unprejudiced;free from undue bias or preconceived opinions;honest;"not disposed to cheat or defraud; not deceptive or fraudulent; marked by truth"
unprejudiced;free from undue bias or preconceived opinions;undiscriminating;not discriminating
venomous;"extremely poisonous or injurious; producing venom";dangerous;"involving or causing danger or risk; liable to hurt or harm"
white;"being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light";bright;emitting or reflecting light readily or in large amounts
wrathful;vehemently incensed and condemnatory;incensed;angered at something unjust or wrong 
abstract;dealing with a subject in the abstract without practical purpose or intention;theoretic ;concerned primarily with theories or hypotheses rather than practical considerations
absurd;inconsistent with reason or logic or common sense;nonsense;having no intelligible meaning
abundant;present in great quantity;sufficient;of a quantity that can fulfill a need or requirement 
adequate;having the requisite qualities or resources to meet a task;suitable;meant or adapted for an occasion or use
alarming;frightening because of an awareness of danger;disturbing, worrying;causing distress or worry or anxiety
ambitious;requiring full use of your abilities or resources ;difficult;"not easy; requiring great physical or mental effort to accomplish or comprehend or endure"
antisocial;hostile to or disruptive of normal standards of social behavior;unsociable;not inclined to society or companionship
antisocial;hostile to or disruptive of normal standards of social behavior;withdrawn;"withdrawn from society; seeking solitude"
arcane;requiring secret or mysterious knowledge;mysterious;"having an import not apparent to the senses nor obvious to the intelligence; beyond ordinary understanding"
ardent;characterized by strong enthusiasm;hardworking, industrious;characterized by hard work and perseverance
aroused;feeling great sexual desire;hot;sexually excited or exciting 
arthritic;of or pertaining to arthritis;ill;affected by an impairment of normal physical or mental function
autarchic;of or relating to or characterized by autarchy;independent, autonomous;(of political bodies) not controlled by outside forces
authoritarian;"characteristic of an absolute ruler or absolute rule; having absolute sovereignty";dominating;offensively self-assured or given to exercising usually unwarranted power
autumnal;of or characteristic of or occurring in autumn;seasonal;occurring at or dependent on a particular season
believable;capable of being believed;likely;within the realm of credibility
bionic;having particular physiological functions augmented or replaced by electronic or electromechanical components;artificial;not arising from natural growth or characterized by vital processes
biting;capable of wounding;angry;feeling or showing anger 
blank;(of a surface) not written or printed on;empty;holding or containing nothing
blind;unable to see;handicapped;the total or partial absence of a person's bodily or mental functions, including the absence of a part of a person's body
bright-red;of the red of fresh raspberries;red;of a color at the end of the color spectrum (next to orange)
brisant;of or relating to the power (the shattering effect) of an explosive;explosive;serving to explode or characterized by explosion or sudden outburst
Buddhistic;of or relating to or supporting Buddhism;religious;concerned with sacred matters or religion or the church
bureaucratic;of or relating to or resembling a bureaucrat or bureaucracy;strict;"rigidly accurate; allowing no deviation from a standard"
candid;"characterized by directness in manner or speech; without subtlety or evasion";honest;"not disposed to cheat or defraud; not deceptive or fraudulent; marked by truth"
carcinogenic;causing or tending to cause cancer;pathogenic;able to cause disease
civilised;having a high state of culture and development both social and technological;advanced;highly developed especially in technology or industry
classy;elegant and fashionable;elegant;refined and tasteful in appearance or behavior or style
clerical;of or relating to the clergy;religious;concerned with sacred matters or religion or the church
cognitive;of or being or relating to or involving cognition;mental;involving the mind or an intellectual process
combined;made or joined or united into one;joined;connected by a link
competitive;showing a fighting disposition;hostile;characterized by enmity or ill will 
complicated;difficult to analyze or understand;difficult;"not easy; requiring great physical or mental effort to accomplish or comprehend or endure"
confrontational;of or relating to confrontation;aggressive;having or showing determination and energetic pursuit of your ends
constitutional;sanctioned by or consistent with or operating under the law determining the fundamental political principles of a government;political;involving or characteristic of politics or parties or politicians
edible;suitable for use as food;consumable;may be used up
contestable;capable of being contested;uncertain;"not established beyond doubt; still undecided or unknown"
contraconceptive;capable of preventing conception or impregnation;preventative;preventing or contributing to the prevention of disease
contractual;relating to or part of a binding legal agreement ;written;systematically collected and written down
convenient;suited to your comfort or purpose or needs;easy;"posing no difficulty; requiring little effort"
cool;"fashionable and attractive at the time; often skilled or socially adept";attractive;pleasing to the eye or mind especially through beauty or charm
cool;"neither warm nor very cold; giving relief from heat ";cold;having a low or inadequate temperature or feeling a sensation of coldness or having been made cold 
crude;conspicuously and tastelessly indecent ;rude;lacking civility or good manners
cunning;showing inventiveness and skill ;intelligent;having the capacity for thought and reason especially to a high degree
daily;of or belonging to or occurring every day;periodic;happening or recurring at regular intervals
dark red;a red color that reflects little light;red;"of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies"
defiant;boldly resisting authority or an opposing force;stubborn, obstinate;tenaciously unwilling or marked by tenacious unwillingness to yield
deft;"skillful in physical movements; especially of the hands";skillful;having or showing knowledge and skill and aptitude
dejected;affected or marked by low spirits;sad;experiencing or showing sorrow or unhappiness
dim;"lacking in light; not bright or harsh";dark;"devoid of or deficient in light or brightness; shadowed or black"
displeasing;causing displeasure or lacking pleasing qualities;unpleasant;"offensive or disagreeable; causing discomfort or unhappiness"
divine;being or having the nature of a god;supernatural;"not existing in nature or subject to explanation according to natural laws; not physical or material"
docile;easily handled or managed;harmless;not causing or capable of causing harm
drowsy;half asleep;tired;depleted of strength or energy
dusky;lighted by or as if by twilight;dark;"devoid of or deficient in light or brightness; shadowed or black"
eccentric;conspicuously or grossly unconventional or unusual;odd, peculiar;beyond or deviating from the usual or expected
efficient;"able to accomplish a purpose; functioning effectively";competent;properly or sufficiently qualified or capable or efficient 
employable;physically and mentally capable of working at a regular job and available;available;"not busy; not otherwise committed"
ephemeral;lasting a very short time;changeable;"such that alteration is possible; having a marked tendency to change"
epicurean;devoted to pleasure;greedy;ardently or excessively desirous
equitable;fair to all parties as dictated by reason and conscience;fair;"free from favoritism or self-interest or bias or deception; conforming with established standards or rules"
exhausted;"drained of energy or effectiveness; extremely tired; completely exhausted";tired;depleted of strength or energy
exorbitant;greatly exceeding bounds of reason or moderation;big;above average in size or number or quantity or magnitude or extent
exorbitant;greatly exceeding bounds of reason or moderation;excessive;beyond normal limits
exoteric;suitable for the general public;public;"not private; open to or concerning the people as a whole"
exotic;being or from or characteristic of another place or part of the world;foreign;relating to or originating in or characteristic of another place or part of the world
extant;"still in existence; not extinct or destroyed or lost";real;"being or occurring in fact or actuality; having verified existence; not illusory"
extraordinary;"beyond what is ordinary or usual; highly unusual or exceptional or remarkable;";remarkable;unusual or striking
fair;"free from favoritism or self-interest or bias or deception; conforming with established standards or rules";honest;"not disposed to cheat or defraud; not deceptive or fraudulent; marked by truth"
fashionable;being or in accordance with current social fashions;popular;regarded with great favor, approval, or affection especially by the general public
fatigued;"drained of energy or effectiveness; extremely tired; completely exhausted";tired;depleted of strength or energy 
favourable;encouraging or approving or pleasing;positive;characterized by or displaying affirmation or acceptance or certainty
firstborn;first in order of birth;first;preceding all others in time or space or degree
flowing;designed or arranged to offer the least resistance to fluid flow;fluid;"characteristic of a fluid; capable of flowing and easily changing shape"
fluctuating;having unpredictable ups and downs;unstable;lacking stability or fixity or firmness
formalistic;concerned with or characterized by rigorous adherence to recognized forms;rigid, strict;incapable of compromise or flexibility
fortunate;having unexpected good fortune;happy;marked by good fortune
frosty;covered with frost;cold;having a low or inadequate temperature or feeling a sensation of coldness or having been made cold
frozen;"devoid of warmth and cordiality; expressive of unfriendliness or disdain";hardened;"used of persons; emotionally hardened"
fundamentalist;of or relating to or tending toward ideological fundamentalism;strict;characterized by strictness, severity, or restraint
furry;covered with a dense coat of fine silky hairs;hairy;having or covered with hair
gloomy;depressingly dark;dark;"devoid of or deficient in light or brightness; shadowed or black"
gluttonous;given to excess in consumption of especially food or drink;greedy;wanting to eat or drink more than one can reasonably consume
gnostic;possessing intellectual or esoteric knowledge of spiritual things;esoteric;confined to and understandable by only an enlightened inner circle
grammatic;of or pertaining to grammar;linguistic;consisting of or related to language
harmless;not causing or capable of causing harm;safe;free from danger or the risk of harm
healthy;"having or indicating good health in body or mind; free from infirmity or disease";normal;being approximately average or within certain limits in e.g. intelligence and development
hearable;heard or perceptible by the ear;perceptible;capable of being perceived by the mind or senses
homogenous;all of the same or similar kind or nature;uniform;the same throughout in structure or composition
hospitable;disposed to treat guests and strangers with cordiality and generosity;polite;showing regard for others in manners, speech, behavior
huge;unusually great in size or amount or degree or especially extent or scope;big;above average in size or number or quantity or magnitude or extent
hypothetical;based primarily on surmise rather than adequate evidence;possible;existing in possibility
ignoble;completely lacking nobility in character or quality or purpose;bad;characterized by wickedness or immorality
ill-advised;without careful prior deliberation or counsel ;imprudent;not prudent or wise
illegal;prohibited by law or by official or accepted rules;unacceptable;"not acceptable; not welcome"
immense;unusually great in size or amount or degree or especially extent or scope;big;above average in size or number or quantity or magnitude or extent
implacable;incapable of being placated ;angry;feeling or showing anger
importunate;persistent to the point of annoying;persistent;never-ceasing
inadvisable;"not prudent or wise; not recommended";imprudent;not prudent or wise 
incommunicative;not inclined to talk or give information or express opinions;close;inclined to secrecy or reticence about divulging information
incompatible;not easy to combine harmoniously;conflicting;in disagreement
indisputable;"not open to question; obviously true";evident;clearly revealed to the mind or the senses or judgment
inelegant;lacking in refinement or grace or good taste;unattractive;lacking beauty or charm
infected;containing or resulting from disease-causing organisms;ill;affected by an impairment of normal physical or mental function 
influential;having or exercising influence or power;important, significant;important in effect or meaning
injured;emotionally hurt or upset or annoyed;affected;"acted upon; influenced"
insanitary;not sanitary or healthful ;dirty;soiled or likely to soil with dirt or grime
insincere;lacking sincerity;dishonest;"deceptive or fraudulent; disposed to cheat or defraud or deceive"
inspiring;stimulating or exalting to the spirit;stimulating;rousing or quickening activity or the senses
instructive;serving to instruct or enlighten or inform;useful;being of use or service
invasive;involving invasion or aggressive attack;dangerous;causing fear or anxiety by threatening great harm
invigorating;imparting strength and vitality;stimulating;rousing or quickening activity or the senses
irrelevant;having no bearing on or connection with the subject at issue;unimportant;devoid of importance, meaning, or force
irresolute;uncertain how to act or proceed;uncertain;lacking or indicating lack of confidence or assurance
Islamic;of or relating to or supporting Islamism;religious;having or showing belief in and reverence for a deity
lavender;of a pale purple color;purple;of a color intermediate between red and blue
light green;of the color between blue and yellow in the color spectrum;green;"of the color between blue and yellow in the color spectrum; similar to the color of fresh grass"
lilac-blue;of blue tinged with lavender;lilac;of a pale purple color
limitless;without limits in extent or size or quantity;vast;unusually great in size or amount or degree or especially extent or scope
loving;feeling or showing love and affection;soft, gentle;"soft and mild; not harsh or stern or severe"
lucid;capable of thinking and expressing yourself in a clear and consistent manner;aware;having or showing knowledge or understanding or realization or perception
ludic;relating to play or playfulness;playful;full of fun and high spirits
malignant;dangerous to health;harmful;causing or capable of causing harm
mental;involving the mind or an intellectual process;immaterial;without material form or substance
merciless;having or showing no mercy;heartless;lacking in feeling or pity or warmth
metaphysical;transcending physical matter or the laws of nature;supernatural;"not existing in nature or subject to explanation according to natural laws; not physical or material"
milky;"resembling milk in color; not clear";opaque;"not transmitting or reflecting light or radiant energy; impenetrable to sight"
moist;slightly wet;wet;covered or soaked with a liquid such as water
momentary;lasting for a markedly brief time;temporary;"not permanent; not lasting"
neuropsychological;of or concerned with neuropsychology;psychological;of or relating to or determined by psychology
nonjudgmental;refraining from making judgments especially ones based on personal opinions or standards;fair, just;"free from favoritism or self-interest or bias or deception; conforming with established standards or rules"
nonsense;having no intelligible meaning;unclear;not clear to the mind 
nonspecific;not caused by a specific agent;accidental;happening by chance or unexpectedly or unintentionally
nutritive;of or providing nourishment;edible;suitable for use as food
obliging;showing a cheerful willingness to do favors for others;kind;"having or showing a tender and considerate and helpful nature; used especially of persons and their behavior"
obvious;easily perceived and understood ;clear;readily apparent to the mind
old-fashioned;out of fashion;outdated;"old; no longer valid or fashionable"
operative;"effective; producing a desired effect ";effective;producing or capable of producing an intended result or having a striking effect
overjoyed;extremely joyful;happy;enjoying or showing or marked by joy or pleasure
pale;"very light colored; highly diluted with white";light-colored;(used of color) having a relatively small amount of coloring agent 
palish;slightly pale;pale;"very light colored; highly diluted with white"
partisan;devoted to a cause or party;political;involving or characteristic of politics or parties or politicians
peaceful;not disturbed by strife or turmoil or war ;calm;"not agitated; without losing self-possession"
penitent;feeling or expressing remorse for misdeeds;regretful;feeling or expressing regret or sorrow or a sense of loss over something done or undone
perplexed;full of difficulty or confusion or bewilderment ;confused;"perplexed by many conflicting situations or statements; filled with bewilderment"
pessimistic;expecting the worst possible outcome;negative;"characterized by or displaying negation or denial or opposition or resistance; having no positive features"
photogenic;looking attractive in photographs;showy;"superficially attractive and stylish; suggesting wealth or expense"
pompous;characterized by pomp and ceremony and stately display;excessive;beyond normal limits
previous;(used especially of persons) of the immediate past;past;of a person who has held and relinquished a position or office 
rainy;(of weather) wet by periods of rain;wet;covered or soaked with a liquid such as water
recurrent;recurring again and again;repetitive;characterized by repetition
relaxed;without strain or anxiety;calm;"not agitated; without losing self-possession"
reprehensible;bringing or deserving severe rebuke or censure;bad;having undesirable or negative qualities 
reputable;having a good reputation;known;apprehended with certainty
ridiculous;so unreasonable as to invite derision;absurd;inconsistent with reason or logic or common sense
satanic;"extremely evil or cruel; expressive of cruelty or befitting hell ";malicious;having the nature of or resulting from malice
seductive;tending to entice into a desired action or state;desirable;worth having or seeking or achieving
selfish;concerned chiefly or only with yourself and your advantage to the exclusion of others;greedy;immoderately desirous of acquiring
senile;mentally or physically infirm with age;old;(used especially of persons) having lived for a relatively long time or attained a specific age
serious;causing fear or anxiety by threatening great harm;dangerous;"involving or causing danger or risk; liable to hurt or harm"
shitty;very bad ;bad;having undesirable or negative qualities 
simple;easy and not involved or complicated;easy;"posing no difficulty; requiring little effort"
skilled;having or showing or requiring special skill;competent;properly or sufficiently qualified or capable or efficient
socialist;advocating or following the socialist principles;left-wing;believing in or supporting tenets of the political left
sporadic;recurring in scattered and irregular or unpredictable instances;temporary;lacking continuity or regularity
steel blue;a greyish blue color;grey-blue;of blue tinged with grey
sudden;happening without warning or in a short space of time;unexpected;not expected or anticipated 
superhuman;above or beyond the human or demanding more than human power or endurance ;extraordinary;"beyond what is ordinary or usual; highly unusual or exceptional or remarkable; special"
surprising;causing surprise or wonder or amazement;noteworthy, remarkable;worthy of attention
surreal;characterized by fantastic imagery and incongruous juxtapositions;fantastic;existing in fancy only
suspected;believed likely;likely;has a good chance of being the case or of coming about
therapeutical;relating to or involved in therapy;beneficial;promoting or enhancing well-being
threefold;having more than one decidedly dissimilar aspects or qualities;multiple;having or involving or consisting of more than one part or entity or individual 
topical;of interest at the present time;relevant;having a bearing on or connection with the subject at issue
totalitarian;characterized by a government in which the political authority exercises absolute and centralized control;dictatorial, authoritarian, despotic;"characteristic of an absolute ruler or absolute rule; having absolute sovereignty"
trivial;small and of little importance;easy;"posing no difficulty; requiring little effort "
troublesome;causing difficulty or annoyance;uncomfortable;conducive to or feeling mental discomfort 
trusted;(of persons) worthy of trust or confidence;certain;"having or feeling no doubt or uncertainty; confident and assured"
unattainable;impossible to achieve ;difficult;"not easy; requiring great physical or mental effort to accomplish or comprehend or endure"
undamaged;"not harmed or spoiled; sound";whole;not injured or harmed
undeniable;not possible to deny;unmistakable, manifest;clearly revealed to the mind or the senses or judgment
unearned;not gained by merit or labor or service;unjustified;lacking justification or authorization
unflattering;showing or representing unfavorably;negative;"characterized by or displaying negation or denial or opposition or resistance; having no positive features"
unhealthy;not in or exhibiting good health in body or mind ;ill;affected by an impairment of normal physical or mental function
unimpaired;not damaged or diminished in any respect;undamaged;"not harmed or spoiled; sound"
unintelligible;hard or impossible to understand;unclear;not easily deciphered 
unmitigated;not diminished or moderated in intensity or severity;direct;lacking compromising or mitigating elements
unneeded;not necessary;useless;having no beneficial use or incapable of functioning usefully
unpardonable;not admitting of pardon;bad;having undesirable or negative qualities
unpleasant;"offensive or disagreeable; causing discomfort or unhappiness";negative;having the quality of something harmful or unpleasant
unremarkable;found in the ordinary course of events;ordinary;not exceptional in any way especially in quality or ability or size or degree
unscrupulous;without scruples or principles;unethical;not conforming to approved standards of social or professional behavior
unworthy;morally reprehensible;bad;characterized by wickedness or immorality
utopian;characterized by or aspiring to impracticable perfection;ideal;"conforming to an ultimate standard of perfection or excellence; embodying an ideal"
vegetarian;not containing meat;meatless;lacking meat
virtuous;morally excellent;ethical;conforming to accepted standards of social or professional behavior
wary;marked by keen caution and watchful prudence;attentive;"taking heed; giving close and thoughtful attention"
well-known;widely or fully known;famous;widely known and esteemed 
wintry;characteristic of or occurring in winter;seasonal;occurring at or dependent on a particular season 
wintry;"devoid of warmth and cordiality; expressive of unfriendliness or disdain";cold;"especially of psychological coldness; without human warmth or emotion "
