hyponym-lemma;hypo_definition;hypernym-lemma;hyper_definition
competitive;showing a fighting disposition;hostile;characterized by enmity or ill will 
malodorous;having an unpleasant smell;unpleasant;"offensive or disagreeable; causing discomfort or unhappiness"
unworthy;morally reprehensible;bad;characterized by wickedness or immorality
clerical;of or relating to the clergy;religious, spiritual;concerned with sacred matters or religion or the church
adequate;having the requisite qualities or resources to meet a task;suitable, appropriate, suited;meant or adapted for an occasion or use
malignant;dangerous to health;harmful;causing or capable of causing harm
contestable;capable of being contested;uncertain;"not established beyond doubt; still undecided or unknown"
virtuous;morally excellent;ethical;conforming to accepted standards of social or professional behavior
divine;being or having the nature of a god;supernatural;"not existing in nature or subject to explanation according to natural laws; not physical or material"
selfish;concerned chiefly or only with yourself and your advantage to the exclusion of others;greedy, avaricious, covetous, grabby, grasping, prehensile;immoderately desirous of acquiring
contraconceptive;capable of preventing conception or impregnation;preventative, preventive, prophylactic;preventing or contributing to the prevention of disease
trusted;(of persons) worthy of trust or confidence;certain, sure;"having or feeling no doubt or uncertainty; confident and assured"
previous;(used especially of persons) of the immediate past;past, preceding, retiring ;of a person who has held and relinquished a position or office 
exoteric;suitable for the general public;public;"not private; open to or concerning the people as a whole"
leprous;relating to or resembling or having leprosy;ill, sick;affected by an impairment of normal physical or mental function
nonsense;having no intelligible meaning;unclear;not clear to the mind 
fascist;relating to or characteristic of fascism;discriminatory, prejudiced;being biased or having a belief or attitude formed beforehand
daily;of or belonging to or occurring every day;periodic, periodical;happening or recurring at regular intervals
treacherous;"tending to betray; especially having a treacherous character";sly, cunning,  crafty, dodgy, foxy, guileful, knavish, slick, tricksy, tricky, wily;marked by skill in deception
displeasing;causing displeasure or lacking pleasing qualities;unpleasant;"offensive or disagreeable; causing discomfort or unhappiness"
troublesome;causing difficulty or annoyance;uncomfortable;conducive to or feeling mental discomfort 
enterprising;indicating the most important performer or role;active;disposed to take action or effectuate change
stellar;indicating the most important performer or role;famous,  celebrated, famed, far-famed, illustrious, notable, noted, renowned;widely known and esteemed
importunate;persistent to the point of annoying;persistent, relentless, unrelenting ;never-ceasing
absurd;inconsistent with reason or logic or common sense;nonsense, nonsensical;having no intelligible meaning
efficient;"able to accomplish a purpose; functioning effectively";competent;properly or sufficiently qualified or capable or efficient 
crude;conspicuously and tastelessly indecent ;rude, uncivil;lacking civility or good manners
nonspecific;not caused by a specific agent;accidental, inadvertent;happening by chance or unexpectedly or unintentionally
premature;uncommonly early or before the expected time;early;at or near the beginning of a period of time or course of events or before the usual or expected time
surprising;causing surprise or wonder or amazement;noteworthy, remarkable, notable;worthy of attention
invigorating;imparting strength and vitality;stimulating;rousing or quickening activity or the senses
heavy;characterized by effort to the point of exhaustion;difficult, hard;"not easy; requiring great physical or mental effort to accomplish or comprehend or endure"
dusky;lighted by or as if by twilight;dark;"devoid of or deficient in light or brightness; shadowed or black"
docile;easily handled or managed;harmless;not causing or capable of causing harm
humorless;lacking humor;boring, dull, deadening, ho-hum, irksome, slow, tedious, tiresome, wearisome;so lacking in interest as to cause mental weariness 
introverted;given to examining own sensory and perceptual experiences;taciturn;habitually reserved and uncommunicative
unscrupulous;without scruples or principles;unethical;not conforming to approved standards of social or professional behavior
cacophonous;having an unpleasant sound ;unpleasant;"offensive or disagreeable; causing discomfort or unhappiness"
autumnal;of or characteristic of or occurring in autumn;seasonal;occurring at or dependent on a particular season
smart;showing mental alertness and calculation and resourcefulness;intelligent;having the capacity for thought and reason especially to a high degree
cathodic;of or at or pertaining to a cathode;electric, electrical;using or providing or producing or transmitting or operated by electricity 
raging;"characterized by violent and forceful activity or movement; very intense";violent;acting with or marked by or resulting from great force or energy or emotional intensity
pious;having or showing or expressing reverence for a deity;religious;having or showing belief in and reverence for a deity
contractual;relating to or part of a binding legal agreement ;written;systematically collected and written down
unpleasant;"offensive or disagreeable; causing discomfort or unhappiness";negative;having the quality of something harmful or unpleasant
momentary;lasting for a markedly brief time;temporary, impermanent;"not permanent; not lasting"
trivial;small and of little importance;easy;"posing no difficulty; requiring little effort "
therapeutical;relating to or involved in therapy;beneficial, good;promoting or enhancing well-being
cognitive;of or being or relating to or involving cognition;mental;involving the mind or an intellectual process
insanitary;not sanitary or healthful ;dirty, soiled, unclean;soiled or likely to soil with dirt or grime
photogenic;looking attractive in photographs;showy, glossy;"superficially attractive and stylish; suggesting wealth or expense"
notorious;known widely and usually unfavorably;famous, celebrated, famed, far-famed, illustrious, notable, noted, renowned ;widely known and esteemed
acute;having or demonstrating ability to recognize or draw fine distinctions;thorough;painstakingly careful and accurate
