hyponym-lemma;hypo_definition;hypernym-lemma;hyper_definition
banal;"repeated too often; overfamiliar through overuse";easy;"posing no difficulty; requiring little effort"
ungrammatical;"not grammatical; not conforming to the rules of grammar or accepted usage";wrong, incorrect;"not correct; not in conformity with fact or truth"
lascivious;"driven by lust; preoccupied with or exhibiting lustful desires";unconstrained;free from constraint 
aroused;feeling great sexual desire;hot;sexually excited or exciting 
superhuman;above or beyond the human or demanding more than human power or endurance ;extraordinary;"beyond what is ordinary or usual; highly unusual or exceptional or remarkable; special"
tectonic;pertaining to the structure or movement of the earth's crust;geological, geologic;of or relating to or based on geology
Islamic;of or relating to or supporting Islamism;religious;having or showing belief in and reverence for a deity
ignoble;completely lacking nobility in character or quality or purpose;bad;characterized by wickedness or immorality
flattering;showing or representing to advantage;favorable, favourable;encouraging or approving or pleasing
illegal;prohibited by law or by official or accepted rules;unacceptable;"not acceptable; not welcome"
fiery;characterized by intense emotion;intense;possessing or displaying a distinctive feature to a heightened degree
invasive;involving invasion or aggressive attack;dangerous, grave, grievous, life-threatening, serious, severe ;causing fear or anxiety by threatening great harm
controlled;restrained or managed or kept within certain bounds;composed;serenely self-possessed and free from agitation especially in times of stress
arcane;requiring secret or mysterious knowledge;mysterious, mystic, mystical, occult, orphic, secret;"having an import not apparent to the senses nor obvious to the intelligence; beyond ordinary understanding"
drowsy;half asleep;tired;depleted of strength or energy
irrelevant;having no bearing on or connection with the subject at issue;unimportant, insignificant;devoid of importance, meaning, or force
constitutional;sanctioned by or consistent with or operating under the law determining the fundamental political principles of a government;political;involving or characteristic of politics or parties or politicians
wrathful;vehemently incensed and condemnatory;incensed, indignant, outraged, umbrageous ;angered at something unjust or wrong 
inefficacious;lacking the power to produce a desired effect;inefficient;not producing desired results
metaphysical;transcending physical matter or the laws of nature;supernatural;"not existing in nature or subject to explanation according to natural laws; not physical or material"
skilled;having or showing or requiring special skill;competent;properly or sufficiently qualified or capable or efficient
irresolute;uncertain how to act or proceed;uncertain, incertain, unsure;lacking or indicating lack of confidence or assurance
dark red;a red color that reflects little light;red, blood-red, carmine, cerise, cherry, cherry-red, crimson, reddish, ruby, ruby-red, ruddy, scarlet ;"of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies"
remedial;tending to cure or restore to health;protective;intended or adapted to afford protection of some kind
massive;imposing in scale or scope or degree or power;big, large;above average in size or number or quantity or magnitude or extent
inelegant;lacking in refinement or grace or good taste;unattractive;lacking beauty or charm
eccentric;conspicuously or grossly unconventional or unusual;odd, curious, funny, peculiar, queer, rum, rummy, singular;beyond or deviating from the usual or expected
civilised;having a high state of culture and development both social and technological;advanced;highly developed especially in technology or industry
abstract;dealing with a subject in the abstract without practical purpose or intention;theoretic, theoretical;concerned primarily with theories or hypotheses rather than practical considerations
shitty;very bad ;bad;having undesirable or negative qualities 
fundamentalist;of or relating to or tending toward ideological fundamentalism;strict, nonindulgent;characterized by strictness, severity, or restraint
influential;having or exercising influence or power;important, significant;important in effect or meaning
alarming;frightening because of an awareness of danger;disturbing, worrying, distressful, distressing, perturbing, troubling, worrisome;causing distress or worry or anxiety
extraordinary;"beyond what is ordinary or usual; highly unusual or exceptional or remarkable;";remarkable, singular;unusual or striking
unimpaired;not damaged or diminished in any respect;undamaged;"not harmed or spoiled; sound"
paradoxical;seemingly contradictory but nonetheless possibly true;contradictory, confounding;that confounds or contradicts or confuses
bionic;having particular physiological functions augmented or replaced by electronic or electromechanical components;artificial;not arising from natural growth or characterized by vital processes
autarchic;of or relating to or characterized by autarchy;independent, autonomous, self-governing, sovereign;(of political bodies) not controlled by outside forces
wintry;characteristic of or occurring in winter;seasonal;occurring at or dependent on a particular season 
lavender;of a pale purple color;purple, purplish, violet;of a color intermediate between red and blue
inadvisable;"not prudent or wise; not recommended";imprudent;not prudent or wise 
intolerable;incapable of being tolerated or endured;terrible, severe, wicked;intensely or extremely bad or unpleasant in degree or quality
operative;"effective; producing a desired effect ";effective, effectual, efficacious;producing or capable of producing an intended result or having a striking effect
ridiculous;so unreasonable as to invite derision;absurd;inconsistent with reason or logic or common sense
nonjudgmental;refraining from making judgments especially ones based on personal opinions or standards;fair, just;"free from favoritism or self-interest or bias or deception; conforming with established standards or rules"
unintelligible;hard or impossible to understand;unclear,  indecipherable, undecipherable, unreadable;not easily deciphered 
vegetarian;not containing meat;meatless;lacking meat
senile;mentally or physically infirm with age;old;(used especially of persons) having lived for a relatively long time or attained a specific age
incommunicative;not inclined to talk or give information or express opinions;close, closelipped, closemouthed, secretive, tightlipped;inclined to secrecy or reticence about divulging information
immense;unusually great in size or amount or degree or especially extent or scope;big, large;above average in size or number or quantity or magnitude or extent
innocuous;not injurious to physical or mental health;harmless;not causing or capable of causing harm
unmitigated;not diminished or moderated in intensity or severity;direct, exact;lacking compromising or mitigating elements
dejected;affected or marked by low spirits;sad;experiencing or showing sorrow or unhappiness
demanding;"requiring more than usually expected or thought due; especially great patience and effort and skill ";difficult, hard;"not easy; requiring great physical or mental effort to accomplish or comprehend or endure"
biting;capable of wounding;angry;feeling or showing anger 
huge;unusually great in size or amount or degree or especially extent or scope;big, large;above average in size or number or quantity or magnitude or extent
wintry;"devoid of warmth and cordiality; expressive of unfriendliness or disdain";cold;"especially of psychological coldness; without human warmth or emotion "
unfurnished;not equipped with what is needed especially furniture;poor;lacking in quality or substances
immoral;not adhering to ethical or moral principles;bad;characterized by wickedness or immorality
convenient;suited to your comfort or purpose or needs;easy;"posing no difficulty; requiring little effort"
rusted;having accumulated rust;affected;"acted upon; influenced"
venomous;"extremely poisonous or injurious; producing venom";dangerous, unsafe;"involving or causing danger or risk; liable to hurt or harm"
loving;feeling or showing love and affection;soft, gentle;"soft and mild; not harsh or stern or severe"
academic;hypothetical or theoretical and not expected to produce an immediate or practical result;theoretical, theoretic;concerned primarily with theories or hypotheses rather than practical considerations
fashionable;being or in accordance with current social fashions;popular;regarded with great favor, approval, or affection especially by the general public
classic;"of a well-known type; remarkably typical";normal;"conforming with or constituting a norm or standard or level or type or social norm; not abnormal "
hearable;heard or perceptible by the ear;perceptible;capable of being perceived by the mind or senses
assertive;aggressively self-assured;sure, certain;"having or feeling no doubt or uncertainty; confident and assured "
harmless;not causing or capable of causing harm;safe;free from danger or the risk of harm
futile;producing no result or effect;ineffective, ineffectual, uneffective;not producing an intended effect
ill-advised;without careful prior deliberation or counsel ;imprudent;not prudent or wise
convenient ;suited to your comfort or purpose or needs;suitable, appropriate, suited;meant or adapted for an occasion or use
cunning;showing inventiveness and skill ;intelligent;having the capacity for thought and reason especially to a high degree
furry;covered with a dense coat of fine silky hairs;hairy, haired, hirsute;having or covered with hair
memorable;worth remembering;great;remarkable or out of the ordinary in degree or magnitude or effect
fair;"free from favoritism or self-interest or bias or deception; conforming with established standards or rules";honest, honorable;"not disposed to cheat or defraud; not deceptive or fraudulent; marked by truth"
frozen;"devoid of warmth and cordiality; expressive of unfriendliness or disdain";hardened, case-hardened, hard-boiled;"used of persons; emotionally hardened"
candid;"characterized by directness in manner or speech; without subtlety or evasion";honest, honorable;"not disposed to cheat or defraud; not deceptive or fraudulent; marked by truth"
ephemeral;lasting a very short time;changeable, changeful;"such that alteration is possible; having a marked tendency to change"
obvious;easily perceived and understood ;clear;readily apparent to the mind
Arctic;of or relating to the Arctic;polar;of or existing at or near a geographical pole or within the Arctic or Antarctic Circles
bureaucratic;of or relating to or resembling a bureaucrat or bureaucracy;strict, rigorous;"rigidly accurate; allowing no deviation from a standard"
unflattering;showing or representing unfavorably;negative;"characterized by or displaying negation or denial or opposition or resistance; having no positive features"
sporadic;recurring in scattered and irregular or unpredictable instances;temporary, irregular;lacking continuity or regularity
topical;of interest at the present time;relevant;having a bearing on or connection with the subject at issue
brusque;marked by rude or peremptory shortness;rough;(of persons or behavior) lacking refinement or finesse
unhealthy;not in or exhibiting good health in body or mind ;ill, sick;affected by an impairment of normal physical or mental function
pitchy;"of the blackest black; similar to the color of jet or coal";black;"being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light"
disproportional;out of proportion;unequal;poorly balanced or matched in quantity or value or measure
grey-black;of black tinged with grey;black;being of the achromatic color of maximum darkness
shabby;showing signs of wear and tear;damaged;harmed or injured or spoiled
clever;showing inventiveness and skill ;intelligent;having the capacity for thought and reason especially to a high degree
fluctuating;having unpredictable ups and downs;unstable;lacking stability or fixity or firmness
epicurean;devoted to pleasure;greedy, avid, devouring, esurient;ardently or excessively desirous
abundant;present in great quantity;adequate, enough;sufficient for the purpose
cool;"fashionable and attractive at the time; often skilled or socially adept";attractive;pleasing to the eye or mind especially through beauty or charm
reprehensible;bringing or deserving severe rebuke or censure;bad;having undesirable or negative qualities 
healthy;"having or indicating good health in body or mind; free from infirmity or disease";normal;being approximately average or within certain limits in e.g. intelligence and development
flowing;designed or arranged to offer the least resistance to fluid flow;fluid, runny;"characteristic of a fluid; capable of flowing and easily changing shape"
dim;"lacking in light; not bright or harsh";dark;"devoid of or deficient in light or brightness; shadowed or black"
recurrent;recurring again and again;repetitive, repetitious;characterized by repetition
unearned;not gained by merit or labor or service;unjustified, undue, unwarranted;lacking justification or authorization
defiant;boldly resisting authority or an opposing force;stubborn, obstinate, unregenerate;tenaciously unwilling or marked by tenacious unwillingness to yield
milky;"resembling milk in color; not clear";opaque;"not transmitting or reflecting light or radiant energy; impenetrable to sight"
hospitable;disposed to treat guests and strangers with cordiality and generosity;polite;showing regard for others in manners, speech, behavior
wary;marked by keen caution and watchful prudence;attentive, heedful, paying attention, thoughtful;"taking heed; giving close and thoughtful attention"
interlinear;written between lines of text;alternating, alternate;"occurring by turns; first one and then the other"
formalistic;concerned with or characterized by rigorous adherence to recognized forms;rigid, strict;incapable of compromise or flexibility
classy;elegant and fashionable;elegant;refined and tasteful in appearance or behavior or style
pessimistic;expecting the worst possible outcome;negative;"characterized by or displaying negation or denial or opposition or resistance; having no positive features"
obliging;showing a cheerful willingness to do favors for others;kind;"having or showing a tender and considerate and helpful nature; used especially of persons and their behavior"
pharisaical;excessively or hypocritically pious;pious;having or showing or expressing reverence for a deity
merciless;having or showing no mercy;heartless, hardhearted;lacking in feeling or pity or warmth
lilac-blue;of blue tinged with lavender;lilac, lavender, lilac-colored;of a pale purple color
undamaged;"not harmed or spoiled; sound";whole, unharmed, unhurt, unscathed;not injured or harmed
physiological;of or consistent with an organism's normal functioning;natural;"in accordance with nature; relating to or concerning nature"
seductive;tending to entice into a desired action or state;desirable;worth having or seeking or achieving
unlawful;contrary to or forbidden by law;unjustified, undue, unwarranted ;lacking justification or authorization
threefold;having more than one decidedly dissimilar aspects or qualities;multiple;having or involving or consisting of more than one part or entity or individual 
injured;emotionally hurt or upset or annoyed;affected;"acted upon; influenced"
infected;containing or resulting from disease-causing organisms;ill, sick;affected by an impairment of normal physical or mental function 
suspected;believed likely;likely;has a good chance of being the case or of coming about
cordial;diffusing warmth and friendliness;friendly, well-disposed, well disposed;"inclined to help or support; not antagonistic or hostile "
pale;"very light colored; highly diluted with white";light-colored, light;(used of color) having a relatively small amount of coloring agent 
unfilled;of purchase orders that have not been filled;empty;holding or containing nothing 
confrontational;of or relating to confrontation;aggressive;having or showing determination and energetic pursuit of your ends
recoverable;capable of being recovered or regained ;collectible, collectable, payable;subject to or requiring payment especially as specified
instructive;serving to instruct or enlighten or inform;useful, utile;being of use or service
abundant;present in great quantity;sufficient;of a quantity that can fulfill a need or requirement 
current;occurring in or belonging to the present time;present;"temporal sense; intermediate between past and future; now existing or happening or in consideration"
exorbitant;greatly exceeding bounds of reason or moderation;excessive, inordinate, undue, unreasonable;beyond normal limits
ordinary;not exceptional in any way especially in quality or ability or size or degree;common;"having no special distinction or quality; widely known or commonly encountered; average or ordinary or usual"
authoritarian;"characteristic of an absolute ruler or absolute rule; having absolute sovereignty";dominating, autocratic, bossy, high-and-mighty, magisterial, peremptory;offensively self-assured or given to exercising usually unwarranted power
unprejudiced;free from undue bias or preconceived opinions;honest, honorable;"not disposed to cheat or defraud; not deceptive or fraudulent; marked by truth"
rainy;(of weather) wet by periods of rain;wet;covered or soaked with a liquid such as water
physiological;of or consistent with an organism's normal functioning;normal;being approximately average or within certain limits in e.g. intelligence and development
